id,search,date,impressions,clicks,CtR,CpC,spend,ACoS,RoAS,sales,orders,units,conversion_rate,advertised_asin_units,advertised_asin_sales,advertised_brand_units,advertised_brand_sales
16829,11864,11/30/19,53,6,0.113208,0.69,4.15,0.288395,0.0347,14.39,1,1,0.166667,1,14.39,0,0
16830,11872,11/27/19,56,1,0.017857,1.12,1.12,NULL,0,0,0,0,0,0,0,0,0
16831,11872,11/28/19,13,1,0.076923,1.12,1.12,NULL,0,0,0,0,0,0,0,0,0
16832,11872,11/30/19,18,1,0.055556,2.49,2.49,NULL,0,0,0,0,0,0,0,0,0
16833,11874,11/26/19,41,1,0.02439,2.05,2.05,NULL,0,0,0,0,0,0,0,0,0
16834,16835,11/27/19,1,1,1,1.08,1.08,0.045151,0.2215,23.92,1,1,1,1,23.92,0,0
16835,12777,11/24/19,4,2,0.5,0.37,0.73,0.030518,0.3277,23.92,1,1,0.5,1,23.92,0,0
16836,12777,11/25/19,11,1,0.090909,0.39,0.39,0.016304,0.6133,23.92,1,1,1,1,23.92,0,0
16837,12777,11/26/19,7,1,0.142857,0.5,0.5,NULL,0,0,0,0,0,0,0,0,0
16838,12778,11/24/19,32,3,0.09375,0.37,1.11,NULL,0,0,0,0,0,0,0,0,0
16839,12778,11/27/19,29,1,0.034483,0.48,0.48,0.015233,0.6565,31.51,2,2,2,1,23.92,1,7.59
16840,12778,11/30/19,22,1,0.045455,0.51,0.51,NULL,0,0,0,0,0,0,0,0,0
16841,16842,11/24/19,1,1,1,1.31,1.31,NULL,0,0,0,0,0,0,0,0,0
16842,16843,11/24/19,1,1,1,0.94,0.94,NULL,0,0,0,0,0,0,0,0,0
16843,16844,11/24/19,1,1,1,0.85,0.85,0.035535,0.2814,23.92,1,1,1,1,23.92,0,0
16844,16845,11/24/19,1,1,1,0.9,0.9,NULL,0,0,0,0,0,0,0,0,0
16845,16846,11/24/19,2,1,0.5,1.23,1.23,NULL,0,0,0,0,0,0,0,0,0
16846,12814,11/24/19,44,1,0.022727,0.54,0.54,NULL,0,0,0,0,0,0,0,0,0
16847,11927,11/24/19,2,1,0.5,0.27,0.27,NULL,0,0,0,0,0,0,0,0,0
16848,16849,11/27/19,34,1,0.029412,2.73,2.73,NULL,0,0,0,0,0,0,0,0,0
16849,16850,11/24/19,9,1,0.111111,2.57,2.57,NULL,0,0,0,0,0,0,0,0,0
16850,12817,11/28/19,30,1,0.033333,4.84,4.84,NULL,0,0,0,0,0,0,0,0,0
16851,13790,11/24/19,588,1,0.001701,4.29,4.29,NULL,0,0,0,0,0,0,0,0,0
16852,16853,11/25/19,5,1,0.2,2.63,2.63,NULL,0,0,0,0,0,0,0,0,0
16853,16854,11/25/19,3,1,0.333333,3.22,3.22,NULL,0,0,0,0,0,0,0,0,0
16854,16855,11/26/19,4,2,0.5,1.17,2.34,NULL,0,0,0,0,0,0,0,0,0
16855,11932,11/25/19,50,1,0.02,1.38,1.38,NULL,0,0,0,0,0,0,0,0,0
16856,11932,11/26/19,56,1,0.017857,0.96,0.96,NULL,0,0,0,0,0,0,0,0,0
16857,14957,11/25/19,3,1,0.333333,0.44,0.44,0.013358,0.7486,32.94,1,1,1,1,32.94,0,0
16858,15988,11/25/19,1,1,1,0.56,0.56,0.00425,2.3529,131.76,1,4,1,4,131.76,0,0
16859,11936,11/25/19,30,1,0.033333,2.42,2.42,0.030836,0.3243,78.48,2,7,2,1,32.94,6,45.54
16860,16861,11/30/19,7,2,0.285714,0.24,0.47,0.014268,0.7009,32.94,1,1,0.5,1,32.94,0,0
16861,13798,11/25/19,1,1,1,0.75,0.75,NULL,0,0,0,0,0,0,0,0,0
16862,11939,11/25/19,42,2,0.047619,0.77,1.53,0.035941,0.2782,42.57,2,2,1,1,19.36,1,23.21
16863,11939,11/26/19,36,1,0.027778,0.91,0.91,0.047053,0.2125,19.34,1,1,1,1,19.34,0,0
16864,11939,11/30/19,50,1,0.02,0.37,0.37,NULL,0,0,0,0,0,0,0,0,0
16865,14969,11/27/19,3,1,0.333333,4.71,4.71,NULL,0,0,0,0,0,0,0,0,0
16866,16867,11/26/19,148,1,0.006757,1.95,1.95,NULL,0,0,0,0,0,0,0,0,0
16867,16868,11/24/19,5,1,0.2,2.95,2.95,NULL,0,0,0,0,0,0,0,0,0
16868,12839,11/30/19,1,1,1,3.18,3.18,0.164426,0.0608,19.34,1,1,1,1,19.34,0,0
16869,16870,11/25/19,5,1,0.2,1.65,1.65,NULL,0,0,0,0,0,0,0,0,0
16870,16871,11/25/19,775,1,0.00129,1.96,1.96,NULL,0,0,0,0,0,0,0,0,0
