id,campaign,term,match_type
34147,13,dial hand soap foaming,Other Placements
34144,13,dial hand soap foaming,Top of Search
11847,13,foaming hand soap bath and body works,BROAD
11854,13,foaming hand soap bath and body works,EXACT
34171,13,foaming hand soap bath and body works,Other Placements
11861,13,foaming hand soap bath and body works,PHRASE
34152,13,foaming hand soap bath and body works,Top of Search
11866,13,hand soap,BROAD
11873,13,hand soap,EXACT
34204,13,hand soap,Other Placements
11880,13,hand soap,PHRASE
34183,13,hand soap,Top of Search
11887,13,hand soap antibacterial,BROAD
12519,13,hand soap antibacterial,EXACT
34234,13,hand soap antibacterial,Other Placements
11894,13,hand soap antibacterial,PHRASE
34220,13,hand soap antibacterial,Top of Search
11901,13,hand soap bath and body works,BROAD
11908,13,hand soap bath and body works,EXACT
34260,13,hand soap bath and body works,Other Placements
11912,13,hand soap bath and body works,PHRASE
34242,13,hand soap bath and body works,Top of Search
11919,13,hand soap bath and body works deep cleaning,BROAD
34271,13,hand soap bath and body works deep cleaning,Other Placements
35077,13,hand soap bath and body works deep cleaning,Top of Search
11921,13,hand soap bath and body works foam,BROAD
11927,13,hand soap bath and body works foam,EXACT
34279,13,hand soap bath and body works foam,Other Placements
34273,13,hand soap bath and body works foam,Top of Search
12555,13,hand soap bath and body works foam vanilla,BROAD
35088,13,hand soap bath and body works foam vanilla,Other Placements
36732,13,hand soap bath and body works foam vanilla,Top of Search
11928,13,hand soap bath and body works stress relief,BROAD
34286,13,hand soap bath and body works stress relief,Other Placements
34285,13,hand soap bath and body works stress relief,Top of Search
11929,13,hand soap bulk,BROAD
11933,13,hand soap bulk,EXACT
34300,13,hand soap bulk,Other Placements
11937,13,hand soap bulk,PHRASE
34287,13,hand soap bulk,Top of Search
11943,13,hand soap bulk antibacterial,BROAD
14480,13,hand soap bulk antibacterial,EXACT
34307,13,hand soap bulk antibacterial,Other Placements
34306,13,hand soap bulk antibacterial,Top of Search
15042,13,hand soap bulk natural,BROAD
38569,13,hand soap bulk natural,Other Placements
38568,13,hand soap bulk natural,Top of Search
16705,13,hand soap bulk organic,BROAD
41248,13,hand soap bulk organic,Top of Search
13780,13,hand soap bulk refill,BROAD
15540,13,hand soap bulk refill,EXACT
35919,13,hand soap bulk refill,Other Placements
11945,13,hand soap bulk refill,PHRASE
34308,13,hand soap bulk refill,Top of Search
11946,13,hand soap bulk softsoap,BROAD
34309,13,hand soap bulk softsoap,Other Placements
14481,13,hand soap bulk softsoap,PHRASE
36766,13,hand soap bulk softsoap,Top of Search
11947,13,hand soap dispenser,BROAD
11949,13,hand soap dispenser,EXACT
34319,13,hand soap dispenser,Other Placements
11954,13,hand soap dispenser,PHRASE
34310,13,hand soap dispenser,Top of Search
11961,13,hand soap dispenser bronze,PHRASE
34329,13,hand soap dispenser bronze,Top of Search
11962,13,hand soap dispenser glass,BROAD
11963,13,hand soap dispenser glass,EXACT
34334,13,hand soap dispenser glass,Other Placements
11964,13,hand soap dispenser glass,PHRASE
34330,13,hand soap dispenser glass,Top of Search
14498,13,hand soap dispenser plastic,BROAD
11967,13,hand soap dispenser plastic,PHRASE
34335,13,hand soap dispenser plastic,Top of Search
11968,13,hand soap dispenser pump,BROAD
11969,13,hand soap dispenser pump,EXACT
34337,13,hand soap dispenser pump,Other Placements
34336,13,hand soap dispenser pump,Top of Search
11970,13,hand soap dispenser refill,BROAD
11972,13,hand soap dispenser refill,EXACT
34347,13,hand soap dispenser refill,Other Placements
11974,13,hand soap dispenser refill,PHRASE
34338,13,hand soap dispenser refill,Top of Search
16731,13,hand soap dispenser touchless,EXACT
35147,13,hand soap dispenser touchless,Other Placements
11979,13,hand soap dispenser touchless,PHRASE
34349,13,hand soap dispenser touchless,Top of Search
13817,13,hand soap dispenser wall mount,BROAD
12603,13,hand soap dispenser wall mount,EXACT
12604,13,hand soap dispenser wall mount,PHRASE
35149,13,hand soap dispenser wall mount,Top of Search
11982,13,hand soap foam,BROAD
11989,13,hand soap foam,EXACT
34367,13,hand soap foam,Other Placements
11990,13,hand soap foam,PHRASE
34352,13,hand soap foam,Top of Search
11997,13,hand soap foam bath and body works,EXACT
34375,13,hand soap foam bath and body works,Other Placements
12000,13,hand soap foam bath and body works,PHRASE
34372,13,hand soap foam bath and body works,Top of Search
12001,13,hand soap foam dispenser,BROAD
12002,13,hand soap foam dispenser,EXACT
34383,13,hand soap foam dispenser,Other Placements
12003,13,hand soap foam dispenser,PHRASE
34376,13,hand soap foam dispenser,Top of Search
12008,13,hand soap foam refill,BROAD
12011,13,hand soap foam refill,EXACT
34391,13,hand soap foam refill,Other Placements
12012,13,hand soap foam refill,PHRASE
34384,13,hand soap foam refill,Top of Search
16761,13,hand soap foam refill dial,BROAD
16762,13,hand soap foam refill dial,EXACT
41321,13,hand soap foam refill dial,Other Placements
12016,13,hand soap foamer,BROAD
12017,13,hand soap foamer,EXACT
