id,placement,date,impressions,clicks,CtR,CpC,spend,ACoS,RoAS,sales,orders,units,conversion_rate,page_views,NtB_orders,NtB_orders_percentage,NtB_sales,NtB_sales_percentage,NtB_units,NtB_units_persentage,NtB_order_rate
489,5759,11/26/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
490,5759,11/28/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
491,5759,11/29/19,2,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
492,5759,11/30/19,2,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
493,6114,12/1/19,137,3,0.021898,1.1,3.31,0.042534,0.2351,77.82,3,4,1,8,1,0.333333,32.94,0.423285,1,0.25,0.333333
494,6114,12/2/19,115,2,0.017391,0.61,1.21,0.094531,0.1058,12.8,1,2,0.5,23,0,0,0,0,0,0,0
495,6114,12/3/19,76,2,0.026316,0.63,1.25,NULL,0,0,0,0,0,25,0,NULL,0,NULL,0,NULL,0
496,6114,12/4/19,68,5,0.073529,0.54,2.72,0.194425,0.0514,13.99,2,2,0.4,26,0,0,0,0,0,0,0
497,6114,12/5/19,86,3,0.034884,0.36,1.08,0.019021,0.5257,56.78,5,5,1.66667,5,1,0.2,6.4,0.112716,1,0.2,0.333333
498,6114,12/6/19,57,6,0.105263,0.98,5.88,0.173043,0.0578,33.98,2,4,0.333333,27,0,0,0,0,0,0,0
499,6114,12/7/19,43,1,0.023256,1.55,1.55,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
500,5705,12/1/19,373,2,0.005362,0.44,0.87,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
501,5705,12/2/19,483,11,0.022774,0.44,4.83,0.137685,0.0726,35.08,1,1,0.090909,11,0,0,0,0,0,0,0
502,5705,12/3/19,452,10,0.022124,0.49,4.86,0.124297,0.0805,39.1,2,2,0.2,10,2,1,39.1,1,2,1,0.2
